split,k,N,p_bias,repetitions,mc_mean,mc_sd,mc_se,ci_low,ci_high,seed
development,9,60,0.4,7000,450.01514285714285,71.0877544846557,0.8496611793339983,448.3498375465864,451.6804481676993,10070589
development,9,60,0.6,7000,676.3121428571428,135.07787542233646,1.6144894119288367,673.1478017563411,679.4764839579445,10070789
development,9,60,0.8,7000,1348.5792857142858,380.90951682527225,4.552739520773059,1339.6560802225783,1357.5024912059932,10070989
development,9,60,0.925,7000,3265.7964285714284,1330.343008799491,15.900640243451484,3234.6317463631353,3296.9611107797214,10071114
development,9,60,1.075,7000,4255.6792857142855,1730.5639705290346,20.684195678596243,4215.139007135058,4296.219564293513,10071264
development,9,60,1.2,7000,3047.676,975.6448831491635,11.661186768905917,3024.8204939159496,3070.5315060840503,10071389
development,9,60,1.4,7000,2169.1765714285716,552.2278232404856,6.600384932074848,2156.240054677604,2182.1130881795393,10071589
development,9,60,1.6,7000,1708.8742857142856,370.6770105048224,4.430437677779093,1700.1907874300894,1717.557783998482,10071789
development,9,60,1.8,7000,1408.299142857143,275.3845815433414,3.291475304301819,1401.8479698047083,1414.7503159095775,10071989
development,11,15,0.4,7000,136.9442857142857,43.05367064156134,0.5145897888765437,135.9357082612756,137.95286316729582,10071842
development,11,15,0.6,7000,196.78714285714287,73.09962907725746,0.8737076800487044,195.07470727123138,198.49957844305436,10072042
development,11,15,0.8,7000,296.49942857142855,124.30942547356568,1.4857818173592734,293.5873497205199,299.4115074223372,10072242
development,11,15,0.925,7000,356.024,164.36810032902446,1.9645745597519597,352.1735046179425,359.8744953820575,10072367
development,11,15,1.075,7000,355.5357142857143,159.07944526526654,1.901363041380913,351.8091112030721,359.26231736835643,10072517
development,11,15,1.2,7000,330.8662857142857,138.39170965504806,1.6540973067441227,327.6243145661425,334.1082568624289,10072642
development,11,15,1.4,7000,289.20457142857146,110.04658319105876,1.315308245894508,286.62661463804966,291.78252821909325,10072842
development,11,15,1.6,7000,258.53114285714287,90.63827676781449,1.0833346149366079,256.40784602866154,260.6544396856242,10073042
