panel,k,N,p_bias,mc_mean,formula_mean
N=112,5,112,0.94,4583.495,4666.666666666662
N=112,6,112,0.94,5541.259166666667,5599.999999999995
N=112,7,112,0.94,6435.2155,6514.991581758386
N=112,8,112,0.94,7316.344666666667,7381.299459935713
N=112,9,112,0.94,8228.027833333334,8235.999853174404
N=112,10,112,0.94,9067.143333333333,9080.328876190073
N=112,11,112,0.94,9955.634333333333,9915.355020830659
N=112,12,112,0.94,10779.466666666667,10741.993088543784
N=112,13,112,0.94,11594.825333333334,11561.022697418892
N=112,14,112,0.94,12607.270666666667,12373.107167204093
N=112,15,112,0.94,13308.988166666666,13178.810939355024
N=112,16,112,0.94,14198.263333333334,13978.614875963713
N=112,17,112,0.94,14838.144,14772.929348276419
N=112,18,112,0.94,15929.071166666667,15562.105274477937
N=112,19,112,0.94,16437.83916666667,16346.443357309961
N=112,20,112,0.94,17351.0915,17126.201787596256
N=112,21,112,0.94,18293.665333333334,17901.602661906843
N=112,22,112,0.94,19050.419666666665,18672.837332303723
N=112,23,112,0.94,19751.789,19440.07087338
N=112,24,112,0.94,20662.262833333334,20203.44582110185
N=112,25,112,0.94,21507.8895,20963.085310987557
N=112,26,112,0.94,22233.7,21719.095720279918
N=112,27,112,0.94,23139.05325,22471.568899753118
N=112,28,112,0.94,23774.171166666667,23220.58406517788
N=112,29,112,0.94,24774.977,23966.209405729962
N=112,30,112,0.94,25411.348833333333,24708.503456271817
N=112,31,112,0.94,26130.145333333334,25447.51627203466
N=112,32,112,0.94,26860.081,26183.290437407126
N=112,33,112,0.94,27803.704,26915.86193499643
N=112,34,112,0.94,28362.799166666668,27645.26089661935
N=112,35,112,0.94,29240.584666666666,28371.512254203346
N=112,36,112,0.94,29997.619833333334,29094.63630557211
N=112,37,112,0.94,30631.412333333334,29814.64920762605
N=112,38,112,0.94,31471.3742,30531.563407401944
N=112,39,112,0.94,32266.892333333333,31245.38801982555
N=112,40,112,0.94,32676.912,31956.129159589902
N=112,41,112,0.94,33733.3926,32663.790233445092
N=112,42,112,0.94,34543.21283333333,33368.37219823259
N=112,43,112,0.94,35138.0208,34069.873789200436
N=112,44,112,0.94,35877.68155,34768.29172247005
N=112,45,112,0.94,36707.27,35463.6208749658
N=112,46,112,0.94,37301.789333333334,36155.85444464744
N=112,47,112,0.94,38099.33216666667,36844.98409348861
N=112,48,112,0.94,38669.848333333335,37531.00007530694
N=112,49,112,0.94,39428.2956,38213.89135026668
N=112,50,112,0.94,40395.3203,38893.64568763092
N=112,3,112,1.0,12698.407166666666,12544.0
N=112,4,112,1.0,13374.1885,13376.414636506277
N=112,5,112,1.0,14415.124,14438.392273272628
N=112,6,112,1.0,15361.954,15476.831097957067
N=112,7,112,1.0,16520.251333333334,16497.17065967512
N=112,8,112,1.0,17341.756166666666,17502.65788449855
N=112,9,112,1.0,18642.615833333333,18495.387106318194
N=112,10,112,1.0,19643.151,19476.788321612214
N=112,11,112,1.0,20571.8495,20447.881488665982
N=112,12,112,1.0,21460.552333333333,21409.419706954854
N=112,13,112,1.0,22360.962333333333,22361.97488852257
N=112,14,112,1.0,23397.834,23305.991589642003
N=112,15,112,1.0,24229.361333333334,24241.822225348504
N=112,16,112,1.0,25338.552,25169.750895745423
N=112,17,112,1.0,26131.068833333335,26090.009976344278
N=112,18,112,1.0,27200.46416666667,27002.791959155948
N=112,19,112,1.0,28087.193166666668,27908.258088016475
N=112,20,112,1.0,28685.999833333335,28806.54477635174
N=112,21,112,1.0,29567.110166666665,29697.768457492733
N=112,22,112,1.0,30660.353,30582.02930561819
N=112,23,112,1.0,31630.929666666667,31459.414128895274
N=112,24,112,1.0,32233.524,32329.99864643061
N=112,25,112,1.0,33245.210333333336,33193.84930010341
N=112,26,112,1.0,33978.9225,34051.02471083279
N=112,27,112,1.0,35015.25683333333,34901.57685986042
N=112,28,112,1.0,35638.82633333333,35745.55205509756
N=112,29,112,1.0,36557.237,36582.99172782268
N=112,30,112,1.0,37277.81883333333,37413.93309426031
N=112,31,112,1.0,38012.984833333336,38238.40970864078
N=112,32,112,1.0,38836.26833333333,39056.45192842437
N=112,33,112,1.0,39824.924166666664,39868.08730791567
N=112,34,112,1.0,40638.14483333333,40673.34093310125
N=112,35,112,1.0,41862.01633333333,41472.235707937965
