k,N,p_bias,absolute_relative_error_percent
38,10,0.975,0.24721030866324176
39,10,0.975,0.43009766622590406
40,10,0.975,0.576442724789771
41,10,0.975,0.09677993978077945
42,10,0.975,0.6649247635818768
43,10,0.975,0.46948816277067223
44,10,0.975,0.4502817091517685
45,10,0.975,0.15090744102949186
46,10,0.975,0.780793835874177
47,10,0.975,9.847002350151096e-05
48,10,0.975,0.6428218490720572
49,10,0.975,0.031017729528155673
50,10,0.975,0.7755463074908665
3,10,1.025,0.9121380818140943
4,10,1.025,0.40400464146052817
5,10,1.025,1.1050612512469618
6,10,1.025,0.6261910041492117
7,10,1.025,0.1481567104526318
8,10,1.025,0.6699942837125491
9,10,1.025,0.5596448146618794
10,10,1.025,0.6730730149955501
11,10,1.025,0.18938174100352223
12,10,1.025,0.8923749464839648
13,10,1.025,0.9486918654481686
14,10,1.025,0.6290264031474296
15,10,1.025,0.6381434620893964
16,10,1.025,0.5397300416821682
17,10,1.025,0.21295667203447996
18,10,1.025,0.5438146935766536
19,10,1.025,0.7958665619346548
20,10,1.025,0.30947080095534707
21,10,1.025,0.4535561981536486
22,10,1.025,0.04738726855744062
23,10,1.025,0.5646674322650672
24,10,1.025,0.023670804573527316
25,10,1.025,0.3409741672099197
26,10,1.025,0.5923520713311327
27,10,1.025,0.32437275018354944
28,10,1.025,0.08974578699615188
29,10,1.025,0.8417413539308551
30,10,1.025,0.18950454079464735
31,10,1.025,0.2811845610392405
32,10,1.025,0.692253825299814
33,10,1.025,0.3956582472052118
34,10,1.025,0.39320813152160994
35,10,1.025,0.7099847442677604
36,10,1.025,0.3495131055499713
37,10,1.025,0.18524495048094042
38,10,1.025,0.5763078250759293
39,10,1.025,0.2796361551755821
40,10,1.025,0.7155463111064511
41,10,1.025,0.5677639333507805
42,10,1.025,0.22363827590692326
43,10,1.025,0.6290531352722247
44,10,1.025,0.8100083739400774
45,10,1.025,0.19715530956941787
46,10,1.025,0.209118173645126
47,10,1.025,0.05982210009286224
48,10,1.025,0.0330654421341202
49,10,1.025,0.16500351701186328
50,10,1.025,0.28182226139724265
3,10,1.9,0.11587410132438375
4,10,1.9,1.1274486247682303
5,10,1.9,0.8591733252542764
6,10,1.9,0.418994182377278
7,10,1.9,0.5272923890721997
8,10,1.9,0.8897935671855062
9,10,1.9,1.1148698124983358
10,10,1.9,1.5433119607349746
11,10,1.9,1.0366315496889085
12,10,1.9,0.342665789355266
13,10,1.9,1.192194376073347
14,10,1.9,0.3643118888331872
15,10,1.9,1.060452953659326
16,10,1.9,0.5582270821489048
17,10,1.9,0.17892228369315494
18,10,1.9,0.3123673703451888
19,10,1.9,0.6001678027051408
20,10,1.9,0.2810113234524041
21,10,1.9,0.27923667681219216
22,10,1.9,0.4004294659127759
23,10,1.9,0.06900910708931551
24,10,1.9,0.07586252928118067
25,10,1.9,0.5524175399747704
26,10,1.9,0.7888560628624092
27,10,1.9,0.6469722220452642
28,10,1.9,0.10814350522977732
29,10,1.9,0.06585699693914132
30,10,1.9,0.1741223214776096
31,10,1.9,0.49849434025782663
32,10,1.9,0.802247650156735
33,10,1.9,0.3060145839731503
34,10,1.9,0.2890237617607802
35,10,1.9,0.4626584320871103
36,10,1.9,0.18063748315889203
37,10,1.9,0.3345327453841068
38,10,1.9,0.27857312330436695
39,10,1.9,0.1489594700809747
40,10,1.9,0.59676462144445
41,10,1.9,0.6011423711515348
42,10,1.9,0.4903134278911871
43,10,1.9,0.6570439765637996
44,10,1.9,0.24636545247329023
45,10,1.9,0.6487660784137108
